Dimension-1 Parameter,Dimension-1 Value,Coherence_NG3_L4_SS_L4_Mean_accuracy,GrCaus_NG3_L4_SS_L4_Information_accuracy,NormError_SimErr_accuracy,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_accuracy,Coherence_NG3_L4_SS_L4_Mean_p,GrCaus_NG3_L4_SS_L4_Information_p,NormError_SimErr_p,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_p,Coherence_NG3_L4_SS_L4_Mean_conf_min,GrCaus_NG3_L4_SS_L4_Information_conf_min,NormError_SimErr_conf_min,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_conf_min,Coherence_NG3_L4_SS_L4_Mean_conf_max,GrCaus_NG3_L4_SS_L4_Information_conf_max,NormError_SimErr_conf_max,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_conf_max
delay_CI_CI,3.0,1.0,1.0,0.7,0.866666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.506,0.693,1.0,1.0,0.853,0.962
delay_CI_CI,3.25,1.0,1.0,0.633333333333,0.733333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.439,0.541,1.0,1.0,0.801,0.877
delay_CI_CI,3.5,1.0,1.0,0.7,0.9,0.0,0.0,0.0,0.0,0.884,0.884,0.506,0.735,1.0,1.0,0.853,0.979
delay_CI_CI,3.75,1.0,1.0,0.733333333333,0.7,0.0,0.0,0.0,0.0,0.884,0.884,0.541,0.506,1.0,1.0,0.877,0.853
delay_CI_CI,4.0,1.0,1.0,0.7,0.766666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.506,0.577,1.0,1.0,0.853,0.901
delay_CI_CI,4.25,1.0,1.0,0.666666666667,0.933333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.472,0.779,1.0,1.0,0.827,0.992
delay_CI_CI,4.5,1.0,1.0,0.733333333333,0.933333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.541,0.779,1.0,1.0,0.877,0.992
delay_CI_CI,4.75,1.0,1.0,0.666666666667,0.866666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.472,0.693,1.0,1.0,0.827,0.962
delay_CI_CI,5.0,1.0,1.0,0.666666666667,0.933333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.472,0.779,1.0,1.0,0.827,0.992
delay_CI_CI,5.25,1.0,1.0,0.766666666667,0.966666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.577,0.828,1.0,1.0,0.901,0.999
delay_CI_CI,5.5,1.0,1.0,0.7,0.9,0.0,0.0,0.0,0.0,0.884,0.884,0.506,0.735,1.0,1.0,0.853,0.979
delay_CI_CI,5.75,1.0,1.0,0.833333333333,0.9,0.0,0.0,0.0,0.0,0.884,0.884,0.653,0.735,1.0,1.0,0.944,0.979
delay_CI_CI,6.0,1.0,1.0,0.8,0.966666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.614,0.828,1.0,1.0,0.923,0.999
delay_CI_CI,6.25,1.0,1.0,0.766666666667,0.9,0.0,0.0,0.0,0.0,0.884,0.884,0.577,0.735,1.0,1.0,0.901,0.979
delay_CI_CI,6.5,1.0,1.0,0.666666666667,0.933333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.472,0.779,1.0,1.0,0.827,0.992
delay_CI_CI,6.75,1.0,1.0,0.8,0.9,0.0,0.0,0.0,0.0,0.884,0.884,0.614,0.735,1.0,1.0,0.923,0.979
delay_CI_CI,7.0,1.0,1.0,0.833333333333,0.9,0.0,0.0,0.0,0.0,0.884,0.884,0.653,0.735,1.0,1.0,0.944,0.979
delay_CI_CI,7.25,1.0,1.0,0.7,0.933333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.506,0.779,1.0,1.0,0.853,0.992
delay_CI_CI,7.5,1.0,1.0,0.833333333333,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.653,0.884,1.0,1.0,0.944,1.0
delay_CI_CI,7.75,1.0,1.0,0.766666666667,0.966666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.577,0.828,1.0,1.0,0.901,0.999
delay_CI_CI,8.0,1.0,1.0,0.766666666667,0.966666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.577,0.828,1.0,1.0,0.901,0.999
delay_CI_CI,8.25,1.0,1.0,0.733333333333,0.966666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.541,0.828,1.0,1.0,0.877,0.999
delay_CI_CI,8.5,1.0,1.0,0.733333333333,0.966666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.541,0.828,1.0,1.0,0.877,0.999
delay_CI_CI,8.75,1.0,1.0,0.8,0.933333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.614,0.779,1.0,1.0,0.923,0.992
delay_CI_CI,9.0,1.0,1.0,0.766666666667,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.577,0.884,1.0,1.0,0.901,1.0
delay_CI_CI,9.25,1.0,1.0,0.866666666667,0.966666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.693,0.828,1.0,1.0,0.962,0.999
delay_CI_CI,9.5,1.0,1.0,0.866666666667,0.933333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.693,0.779,1.0,1.0,0.962,0.992
delay_CI_CI,9.75,1.0,1.0,0.8,0.966666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.614,0.828,1.0,1.0,0.923,0.999
