Dimension-1 Parameter,Dimension-1 Value,Coherence_NG3_L4_SS_L4_Sum_mean,GrCaus_NG3_L4_SS_L4_Information_mean,NormError_SimErr_mean,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_mean
delay_CI_CI,12.5,8.1036551284,2.24892863168,1.50187951423,0.0371559261146
delay_CI_CI,12.75,8.08158286948,2.24802083549,1.49926839649,0.0352381641798
delay_CI_CI,13.0,8.07331763986,2.2524167995,1.49762017932,0.0357307067437
delay_CI_CI,13.25,8.06319288694,2.25422060703,1.49487813968,0.0362597073926
delay_CI_CI,13.5,8.06254791971,2.23279653177,1.49458653273,0.0349353623265
delay_CI_CI,13.75,8.06464284814,2.23587172763,1.49481664293,0.035277201903
delay_CI_CI,14.0,8.05480215634,2.23063390618,1.49453948409,0.0355414365347
delay_CI_CI,14.25,8.05298551069,2.23090117044,1.4970036499,0.0341174401349
delay_CI_CI,14.5,8.03980134838,2.2257291992,1.50085902532,0.0359598003582
delay_CI_CI,14.75,8.06418014244,2.24667971663,1.50004180334,0.0363793859597
delay_CI_CI,15.0,8.03168195755,2.21503582341,1.50171911708,0.0390215928531
delay_CI_CI,15.25,8.0301826223,2.22268079364,1.50164838518,0.0375968848423
delay_CI_CI,15.5,8.04333199878,2.22283839775,1.50415591606,0.0368294919491
delay_CI_CI,15.75,8.02497299324,2.22920530874,1.50523145295,0.0391673839571
delay_CI_CI,16.0,8.01606693025,2.23158751991,1.50417998231,0.037621228022
delay_CI_CI,16.25,8.0368611619,2.23895038676,1.50493624355,0.0380246303233
delay_CI_CI,16.5,8.03147370195,2.2375074676,1.50610361186,0.0355767636768
delay_CI_CI,16.75,8.078226163,2.24072401579,1.51207540173,0.0352839735268
delay_CI_CI,17.0,8.09210221873,2.24615421522,1.51404331154,0.0372704313636
delay_CI_CI,17.25,8.09132678395,2.24247194956,1.51457951774,0.0345936102599
delay_CI_CI,17.5,8.10722240596,2.25575572591,1.51582527426,0.03572556384
delay_CI_CI,17.75,8.15183565509,2.27226370908,1.52584567402,0.0366419680387
delay_CI_CI,18.0,8.1725493655,2.26100762814,1.52123126069,0.036027949491
delay_CI_CI,18.25,8.22624278321,2.25340781143,1.52650522522,0.0383196939449
delay_CI_CI,18.5,8.22043530124,2.29287369123,1.51993752582,0.0388097106945
delay_CI_CI,18.75,8.21506067331,2.30800245797,1.51842233717,0.0380494757217
delay_CI_CI,19.0,8.23065707083,2.29069150311,1.51553818421,0.0364434886345
delay_CI_CI,19.25,8.26747392817,2.29210673247,1.53398167575,0.0373086608657
delay_CI_CI,19.5,8.33563466629,2.28404866308,1.54238198761,0.0369356774896
delay_CI_CI,19.75,8.38366882613,2.2560053278,1.54620551626,0.0363010332984
delay_CI_CI,20.0,8.32441885625,2.25444501573,1.53203091089,0.0383372571095
delay_CI_CI,20.25,8.31490326835,2.26584201955,1.54474619717,0.0406270519787
delay_CI_CI,20.5,8.42956242358,2.26390161742,1.55571890803,0.0385998290271
delay_CI_CI,20.75,8.50572424177,2.31180007312,1.55703117507,0.0407578216964
delay_CI_CI,21.0,8.50558488925,2.27797714246,1.55475104745,0.0376051099236
delay_CI_CI,21.25,8.52736525556,2.32267016521,1.56226533353,0.0360807362194
delay_CI_CI,21.5,8.5190370752,2.32779076836,1.55697839745,0.0389365491748
delay_CI_CI,21.75,8.48606622709,2.34148900758,1.56896764364,0.037334146607
delay_CI_CI,22.0,8.49106905414,2.35610280165,1.5676022677,0.0403567561922
delay_CI_CI,22.25,8.4805747156,2.3382811908,1.55935544711,0.0395740543264
