Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,Coherence_NG3_L4_SS_L4_Sum_mean,GrCaus_NG3_L4_SS_L4_Information_mean,NormError_SimErr_mean,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_mean
gL,6.0,gL_1,5.5,13.2488755466,3.36239773017,0.739229886828,0.108762241849
gL,6.0,gL_1,6.5,11.6329161078,3.13178118483,0.733156559566,0.0744239642498
gL,6.0,gL_1,7.5,10.3111780825,2.91885438418,0.751137039613,0.0665855477494
gL,6.0,gL_1,8.5,8.9721072294,2.50068723909,0.774178059888,0.0584379713517
gL,6.0,gL_1,9.5,8.15987537772,2.2789423979,0.796175976696,0.0546304638548
gL,6.0,gL_1,10.5,7.4326223936,2.063610206,0.826827931101,0.0442825542588
gL,6.0,gL_1,11.5,6.70167212863,1.62624820974,0.857207125543,0.0395681552524
gL,6.0,gL_1,12.5,6.13874494497,1.31999336345,0.891851561146,0.0339401745247
gL,6.0,gL_1,13.5,5.64927014051,1.06137504287,0.92755806776,0.0305708904561
gL,6.0,gL_1,14.5,5.42695521176,0.847000584484,0.950104545665,0.0271250733601
gL,7.0,gL_1,0.5,29.0892232131,7.0599986298,0.84054737964,0.378505438652
gL,7.0,gL_1,1.5,26.3724594527,6.5010544841,0.893061479507,0.274401146409
gL,7.0,gL_1,2.5,24.6464898708,6.27944859503,1.00642547101,0.188933152954
gL,7.0,gL_1,3.5,20.9420159218,5.64642413139,1.09635177113,0.174996181524
gL,7.0,gL_1,4.5,15.134031408,3.93568843658,0.823987504589,0.195558104749
gL,7.0,gL_1,5.5,13.3641781752,3.35241585738,0.736256922045,0.112820353174
gL,7.0,gL_1,6.5,11.8079184337,3.17628863381,0.725072209337,0.0753998222521
gL,7.0,gL_1,7.5,10.2912582184,2.9077364664,0.746332543793,0.0704769846577
gL,7.0,gL_1,8.5,8.96292168901,2.49305129289,0.771325115421,0.0609580892399
gL,7.0,gL_1,9.5,8.16773093869,2.30203115426,0.794690215962,0.0539329456637
gL,7.0,gL_1,10.5,7.42724059626,2.07983695576,0.82649436668,0.045322454786
gL,7.0,gL_1,11.5,6.71704918876,1.63063147996,0.856902866358,0.0399163894494
gL,7.0,gL_1,12.5,6.13699657008,1.32011663758,0.892032596658,0.0343326527641
gL,7.0,gL_1,13.5,5.64927014051,1.06137504287,0.92755806776,0.0305708904561
gL,7.0,gL_1,14.5,5.42695521176,0.847000584484,0.950104545665,0.0271250733601
gL,8.0,gL_1,0.5,28.9497702537,6.99502310449,0.868419562063,0.345308670542
gL,8.0,gL_1,1.5,27.4684879736,6.85293297666,0.865855645322,0.285798483583
gL,8.0,gL_1,2.5,24.6541889719,6.09389324282,0.959351668092,0.198305952545
gL,8.0,gL_1,3.5,22.3334187755,5.88624761692,1.08902640267,0.171026836138
gL,8.0,gL_1,4.5,18.3771042465,4.93151090128,1.01734300825,0.19054110029
gL,8.0,gL_1,5.5,13.3679690816,3.47614236103,0.732232846955,0.130869104949
gL,8.0,gL_1,6.5,11.820085704,3.18351132421,0.719131987744,0.0787565504423
gL,8.0,gL_1,7.5,10.3380733964,2.91159251356,0.741475657634,0.0732117016663
gL,8.0,gL_1,8.5,9.00870362316,2.50054208015,0.768808868753,0.0581571096907
gL,8.0,gL_1,9.5,8.16096809538,2.32494882348,0.794319506386,0.0553199262249
