Dimension-1 Parameter,Dimension-1 Value,Coherence_NG3_L4_SS_L4_Mean_mean,GrCaus_NG3_L4_SS_L4_Information_mean,NormError_SimErr_mean,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_mean
delay_CI_CI,22.25,0.454652586474,3.91422066523,1.3551522265,0.0956771325169
delay_CI_CI,22.5,0.44073522302,3.82816364134,1.30607594572,0.101423166403
delay_CI_CI,22.75,0.454792111416,3.87254730474,1.35946731288,0.0988091911168
delay_CI_CI,23.0,0.449688915583,3.81062776665,1.3372210133,0.0961852190675
delay_CI_CI,23.25,0.443670148902,3.80574380197,1.36549198451,0.0996693457219
delay_CI_CI,23.5,0.448733674058,3.81290264544,1.38076821021,0.0920374310304
delay_CI_CI,23.75,0.45277544694,3.79966092565,1.36201179119,0.0982697948734
delay_CI_CI,24.0,0.441122442196,3.73666485461,1.36433817257,0.0925839360568
delay_CI_CI,24.25,0.449569821588,3.82063676251,1.3358317353,0.103362296694
delay_CI_CI,24.5,0.440147669438,3.73197512979,1.36403725648,0.101453609558
delay_CI_CI,24.75,0.442127649717,3.75908040001,1.36794275263,0.097902668336
