Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,Coherence_NG3_L4_SS_L4_Sum_mean,GrCaus_NG3_L4_SS_L4_Information_mean,NormError_SimErr_mean,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_mean
gL,5.0,gL_1,4.5,6.86511735695,1.78374070757,1.43994462591,0.0325468324911
gL,5.0,gL_1,5.5,6.03742540933,1.29374774854,1.36094348573,0.0269367578633
gL,5.0,gL_1,6.5,5.42356029253,0.760991212551,1.36005904138,0.0213206425636
gL,5.0,gL_1,7.5,5.05562485294,0.458138545027,1.3749074353,0.0202789075295
gL,5.0,gL_1,8.5,4.74770591603,-0.00203908871124,1.45452361981,0.016396996423
gL,5.0,gL_1,9.5,4.67957776971,0.0162333423842,1.4400632094,0.00945729354179
gL,5.0,gL_1,10.5,4.6992209111,-0.0497086864825,1.41527996336,0.0049470355459
gL,5.0,gL_1,11.5,4.65223390725,-0.197111652061,1.35640676111,0.000655032682436
gL,5.0,gL_1,12.5,,,,0.0
gL,5.0,gL_1,13.5,,,,0.0
gL,5.0,gL_1,14.5,,,,0.0
gL,6.0,gL_1,0.5,15.8260918979,4.23213921113,2.04745628649,0.141525352133
gL,6.0,gL_1,1.5,13.3662399569,3.70488258714,1.88829933248,0.0775716668224
gL,6.0,gL_1,2.5,10.6622463299,3.02271313551,1.8103655739,0.04073347815
gL,6.0,gL_1,3.5,8.73413972497,2.4814229653,1.62368191121,0.0386281420935
gL,6.0,gL_1,4.5,6.90605428209,1.80580196823,1.43907910798,0.0333692367092
gL,6.0,gL_1,5.5,6.01028633513,1.28734564873,1.35481780362,0.028128667486
gL,6.0,gL_1,6.5,5.41829219247,0.771387305002,1.36402900223,0.0214638008731
gL,6.0,gL_1,7.5,5.05565391499,0.458139152746,1.37489984331,0.0202789075295
gL,6.0,gL_1,8.5,4.74770591603,-0.00203908871124,1.45452361981,0.016396996423
gL,6.0,gL_1,9.5,4.67957776971,0.0162333423842,1.4400632094,0.00945729354179
gL,6.0,gL_1,10.5,4.6992209111,-0.0497086864825,1.41527996336,0.0049470355459
gL,6.0,gL_1,11.5,4.65223390725,-0.197111652061,1.35640676111,0.000655032682436
gL,6.0,gL_1,12.5,,,,0.0
gL,6.0,gL_1,13.5,,,,0.0
gL,6.0,gL_1,14.5,,,,0.0
gL,7.0,gL_1,0.5,16.2036490815,4.23067512248,1.97638061527,0.162551557523
gL,7.0,gL_1,1.5,14.4180571831,3.80864097887,1.8456274196,0.109418615065
gL,7.0,gL_1,2.5,10.7648022454,3.10202118324,1.7615949425,0.040018661305
gL,7.0,gL_1,3.5,8.89606279406,2.52933344174,1.62165638372,0.0386475343913
gL,7.0,gL_1,4.5,6.94769273834,1.83122345404,1.44037555992,0.034014732101
gL,7.0,gL_1,5.5,6.04961960154,1.32792468506,1.35935639752,0.0287156309495
gL,7.0,gL_1,6.5,5.4136071824,0.771747312641,1.36764907416,0.022259346381
gL,7.0,gL_1,7.5,5.05565391499,0.458139152746,1.37489984331,0.0202789075295
gL,7.0,gL_1,8.5,4.74770591603,-0.00203908871124,1.45452361981,0.016396996423
gL,7.0,gL_1,9.5,4.67957776971,0.0162333423842,1.4400632094,0.00945729354179
gL,7.0,gL_1,10.5,4.6992209111,-0.0497086864825,1.41527996336,0.0049470355459
gL,7.0,gL_1,11.5,4.65223390725,-0.197111652061,1.35640676111,0.000655032682436
gL,7.0,gL_1,12.5,,,,0.0
gL,7.0,gL_1,13.5,,,,0.0
gL,7.0,gL_1,14.5,,,,0.0
gL,8.0,gL_1,0.5,15.9973926997,4.29395805062,1.93443267864,0.175243195329
gL,8.0,gL_1,1.5,13.9571368239,3.76368520956,1.81175054317,0.128510910361
gL,8.0,gL_1,2.5,11.1196202952,3.11470979947,1.80056103978,0.0547713491579
gL,8.0,gL_1,3.5,9.04896582873,2.55010641652,1.60899576416,0.0364752877253
gL,8.0,gL_1,4.5,7.02285034553,1.88055484481,1.43972564731,0.0335933534893
gL,8.0,gL_1,5.5,6.07717273883,1.33260371196,1.37638625204,0.0297592409441
gL,8.0,gL_1,6.5,5.41364168569,0.771609855173,1.36766468189,0.022259346381
gL,8.0,gL_1,7.5,5.05565391499,0.458139152746,1.37489984331,0.0202789075295
gL,8.0,gL_1,8.5,4.74770591603,-0.00203908871124,1.45452361981,0.016396996423
gL,8.0,gL_1,9.5,4.67957776971,0.0162333423842,1.4400632094,0.00945729354179
gL,8.0,gL_1,10.5,4.6992209111,-0.0497086864825,1.41527996336,0.0049470355459
gL,8.0,gL_1,11.5,4.65223390725,-0.197111652061,1.35640676111,0.000655032682436
gL,8.0,gL_1,12.5,,,,0.0
gL,8.0,gL_1,13.5,,,,0.0
gL,8.0,gL_1,14.5,,,,0.0
gL,9.0,gL_1,0.5,16.5565204179,4.70039659122,1.89736509528,0.201060493617
gL,9.0,gL_1,1.5,15.1260232898,4.11676751507,1.81196763978,0.159021325418
gL,9.0,gL_1,2.5,12.2835158487,3.45834434298,1.64361506788,0.0909652912087
gL,9.0,gL_1,3.5,9.02355230566,2.52286974705,1.57800073038,0.0403667176555
gL,9.0,gL_1,4.5,7.05402708091,1.90962341894,1.44203613197,0.0327278436662
gL,9.0,gL_1,5.5,6.09132221392,1.34882497094,1.37721256578,0.030684497534
gL,9.0,gL_1,6.5,5.41364168569,0.771609855173,1.36766468189,0.022259346381
gL,9.0,gL_1,7.5,5.05565391499,0.458139152746,1.37489984331,0.0202789075295
gL,9.0,gL_1,8.5,4.74770591603,-0.00203908871124,1.45452361981,0.016396996423
gL,9.0,gL_1,9.5,4.67957776971,0.0162333423842,1.4400632094,0.00945729354179
gL,9.0,gL_1,10.5,4.6992209111,-0.0497086864825,1.41527996336,0.0049470355459
gL,9.0,gL_1,11.5,4.65223390725,-0.197111652061,1.35640676111,0.000655032682436
gL,9.0,gL_1,12.5,,,,0.0
gL,9.0,gL_1,13.5,,,,0.0
gL,9.0,gL_1,14.5,,,,0.0
gL,10.0,gL_1,0.5,17.373031441,4.75422833122,1.89561703246,0.204044983326
gL,10.0,gL_1,1.5,15.4424593078,4.40239625552,1.75490243459,0.18388956255
gL,10.0,gL_1,2.5,12.3856403035,3.41664905183,1.64355650588,0.113577042093
gL,10.0,gL_1,3.5,9.07507460106,2.51665003818,1.56721919663,0.0412495414836
gL,10.0,gL_1,4.5,7.16153305855,1.89401228192,1.42226505318,0.0321420033912
gL,10.0,gL_1,5.5,6.09677600983,1.35244006746,1.37755415858,0.0305664319835
gL,10.0,gL_1,6.5,5.41364168569,0.771609855173,1.36766468189,0.022259346381
gL,10.0,gL_1,7.5,5.05565391499,0.458139152746,1.37489984331,0.0202789075295
gL,10.0,gL_1,8.5,4.74770591603,-0.00203908871124,1.45452361981,0.016396996423
gL,10.0,gL_1,9.5,4.67957776971,0.0162333423842,1.4400632094,0.00945729354179
gL,10.0,gL_1,10.5,4.6992209111,-0.0497086864825,1.41527996336,0.0049470355459
gL,10.0,gL_1,11.5,4.65223390725,-0.197111652061,1.35640676111,0.000655032682436
gL,10.0,gL_1,12.5,,,,0.0
gL,10.0,gL_1,13.5,,,,0.0
gL,10.0,gL_1,14.5,,,,0.0
gL,11.0,gL_1,0.5,17.5785288562,4.80104435713,1.83914966469,0.207232986136
gL,11.0,gL_1,1.5,15.7839118745,4.29101858771,1.68426687683,0.189976902142
gL,11.0,gL_1,2.5,12.3209244488,3.42979240724,1.59391576246,0.11372683986
gL,11.0,gL_1,3.5,8.96382809,2.38121376934,1.55708809646,0.048809955005
gL,11.0,gL_1,4.5,7.18027505978,1.90125262746,1.42366177127,0.0317408433152
gL,11.0,gL_1,5.5,6.09677600983,1.35244006746,1.37755415858,0.0305664319835
gL,11.0,gL_1,6.5,5.41364168569,0.771609855173,1.36766468189,0.022259346381
gL,11.0,gL_1,7.5,5.05565391499,0.458139152746,1.37489984331,0.0202789075295
gL,11.0,gL_1,8.5,4.74770591603,-0.00203908871124,1.45452361981,0.016396996423
gL,11.0,gL_1,9.5,4.67957776971,0.0162333423842,1.4400632094,0.00945729354179
gL,11.0,gL_1,10.5,4.6992209111,-0.0497086864825,1.41527996336,0.0049470355459
gL,11.0,gL_1,11.5,4.65223390725,-0.197111652061,1.35640676111,0.000655032682436
gL,11.0,gL_1,12.5,,,,0.0
gL,11.0,gL_1,13.5,,,,0.0
gL,11.0,gL_1,14.5,,,,0.0
gL,12.0,gL_1,0.5,18.2459904659,5.050574697,1.83240064159,0.205626469843
gL,12.0,gL_1,1.5,16.4266878619,4.60598517064,1.70818344862,0.196235404635
gL,12.0,gL_1,2.5,14.6367926746,4.05958567007,1.61116196174,0.158915917475
gL,12.0,gL_1,3.5,8.85461577118,2.48075183841,1.51310691587,0.0478843480894
gL,12.0,gL_1,4.5,7.19826271005,1.90704688185,1.42443962724,0.0313953483687
gL,12.0,gL_1,5.5,6.09677600983,1.35244006746,1.37755415858,0.0305664319835
gL,12.0,gL_1,6.5,5.41364168569,0.771609855173,1.36766468189,0.022259346381
gL,12.0,gL_1,7.5,5.05565391499,0.458139152746,1.37489984331,0.0202789075295
gL,12.0,gL_1,8.5,4.74770591603,-0.00203908871124,1.45452361981,0.016396996423
gL,12.0,gL_1,9.5,4.67957776971,0.0162333423842,1.4400632094,0.00945729354179
gL,12.0,gL_1,10.5,4.6992209111,-0.0497086864825,1.41527996336,0.0049470355459
gL,12.0,gL_1,11.5,4.65223390725,-0.197111652061,1.35640676111,0.000655032682436
gL,12.0,gL_1,12.5,,,,0.0
gL,12.0,gL_1,13.5,,,,0.0
gL,12.0,gL_1,14.5,,,,0.0
gL,13.0,gL_1,0.5,19.0747519019,5.2984168024,1.7999419592,0.209722618929
gL,13.0,gL_1,1.5,18.2551403972,5.14721543954,1.64203541145,0.215504859741
gL,13.0,gL_1,2.5,14.6159930883,4.18811765545,1.57987429805,0.159145463801
gL,13.0,gL_1,3.5,9.10053443384,2.48840615651,1.51713265684,0.0547065083584
gL,13.0,gL_1,4.5,7.20500913854,1.91082468302,1.42566213946,0.0317136475105
gL,13.0,gL_1,5.5,6.09677600983,1.35244006746,1.37755415858,0.0305664319835
gL,13.0,gL_1,6.5,5.41364168569,0.771609855173,1.36766468189,0.022259346381
gL,13.0,gL_1,7.5,5.05565391499,0.458139152746,1.37489984331,0.0202789075295
gL,13.0,gL_1,8.5,4.74770591603,-0.00203908871124,1.45452361981,0.016396996423
gL,13.0,gL_1,9.5,4.67957776971,0.0162333423842,1.4400632094,0.00945729354179
gL,13.0,gL_1,10.5,4.6992209111,-0.0497086864825,1.41527996336,0.0049470355459
gL,13.0,gL_1,11.5,4.65223390725,-0.197111652061,1.35640676111,0.000655032682436
gL,13.0,gL_1,12.5,,,,0.0
gL,13.0,gL_1,13.5,,,,0.0
gL,13.0,gL_1,14.5,,,,0.0
gL,14.0,gL_1,0.5,20.3022315872,5.47036522608,1.85645491704,0.213279240584
