Dimension-1 Parameter,Dimension-1 Value,Coherence_NG3_L4_SS_L4_Sum_accuracy,GrCaus_NG3_L4_SS_L4_Information_accuracy,NormError_SimErr_accuracy,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_accuracy,Coherence_NG3_L4_SS_L4_Sum_p,GrCaus_NG3_L4_SS_L4_Information_p,NormError_SimErr_p,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_p,Coherence_NG3_L4_SS_L4_Sum_conf_min,GrCaus_NG3_L4_SS_L4_Information_conf_min,NormError_SimErr_conf_min,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_conf_min,Coherence_NG3_L4_SS_L4_Sum_conf_max,GrCaus_NG3_L4_SS_L4_Information_conf_max,NormError_SimErr_conf_max,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_conf_max
delay_CI_CI,7.0,0.866666666667,0.833333333333,0.466666666667,0.666666666667,0.0,0.0,0.043,0.0,0.693,0.653,0.283,0.472,0.962,0.944,0.657,0.827
delay_CI_CI,7.25,0.866666666667,0.833333333333,0.466666666667,0.7,0.0,0.0,0.043,0.0,0.693,0.653,0.283,0.506,0.962,0.944,0.657,0.853
delay_CI_CI,7.5,0.866666666667,0.833333333333,0.466666666667,0.7,0.0,0.0,0.043,0.0,0.693,0.653,0.283,0.506,0.962,0.944,0.657,0.853
delay_CI_CI,7.75,0.866666666667,0.9,0.5,0.733333333333,0.0,0.0,0.019,0.0,0.693,0.735,0.313,0.541,0.962,0.979,0.687,0.877
delay_CI_CI,8.0,0.866666666667,0.9,0.533333333333,0.7,0.0,0.0,0.007,0.0,0.693,0.735,0.343,0.506,0.962,0.979,0.717,0.853
delay_CI_CI,8.25,0.866666666667,0.9,0.533333333333,0.666666666667,0.0,0.0,0.007,0.0,0.693,0.735,0.343,0.472,0.962,0.979,0.717,0.827
delay_CI_CI,8.5,0.866666666667,0.9,0.533333333333,0.733333333333,0.0,0.0,0.007,0.0,0.693,0.735,0.343,0.541,0.962,0.979,0.717,0.877
delay_CI_CI,8.75,0.866666666667,0.866666666667,0.533333333333,0.7,0.0,0.0,0.007,0.0,0.693,0.693,0.343,0.506,0.962,0.962,0.717,0.853
delay_CI_CI,9.0,0.866666666667,0.9,0.533333333333,0.733333333333,0.0,0.0,0.007,0.0,0.693,0.735,0.343,0.541,0.962,0.979,0.717,0.877
delay_CI_CI,9.25,0.866666666667,0.9,0.533333333333,0.733333333333,0.0,0.0,0.007,0.0,0.693,0.735,0.343,0.541,0.962,0.979,0.717,0.877
delay_CI_CI,9.5,0.866666666667,0.9,0.533333333333,0.7,0.0,0.0,0.007,0.0,0.693,0.735,0.343,0.506,0.962,0.979,0.717,0.853
delay_CI_CI,9.75,0.866666666667,0.9,0.533333333333,0.666666666667,0.0,0.0,0.007,0.0,0.693,0.735,0.343,0.472,0.962,0.979,0.717,0.827
delay_CI_CI,10.0,0.866666666667,0.9,0.533333333333,0.666666666667,0.0,0.0,0.007,0.0,0.693,0.735,0.343,0.472,0.962,0.979,0.717,0.827
delay_CI_CI,10.25,0.833333333333,0.9,0.533333333333,0.7,0.0,0.0,0.007,0.0,0.653,0.735,0.343,0.506,0.944,0.979,0.717,0.853
delay_CI_CI,10.5,0.833333333333,0.9,0.533333333333,0.7,0.0,0.0,0.007,0.0,0.653,0.735,0.343,0.506,0.944,0.979,0.717,0.853
delay_CI_CI,10.75,0.8,0.9,0.533333333333,0.7,0.0,0.0,0.007,0.0,0.614,0.735,0.343,0.506,0.923,0.979,0.717,0.853
delay_CI_CI,11.0,0.833333333333,0.9,0.533333333333,0.7,0.0,0.0,0.007,0.0,0.653,0.735,0.343,0.506,0.944,0.979,0.717,0.853
delay_CI_CI,11.25,0.866666666667,0.9,0.533333333333,0.7,0.0,0.0,0.007,0.0,0.693,0.735,0.343,0.506,0.962,0.979,0.717,0.853
